;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
0;Habitación;San Borja;1;0;0;40;1700.0;500.0;60.0
1;Casa;Lurigancho;2;0;1;100;7000.0;;
2;Departamento;Pachacámac;1;0;0;15;800.0;390.0;20.0
3;Departamento;Ate;1;0;0;48;800.0;230.0;
4;Departamento;Barranco;3;1;0;70;1200.0;;
5;Departamento;Comas;2;0;0;50;1300.0;301.0;17.0
6;Casa en condominio;Ate;5;4;5;750;22000.0;;
7;Casa en condominio;El Agustino;2;2;0;65;1000.0;;
8;Departamento;Pachacámac;1;0;0;36;1200.0;;
9;Departamento;Mi Perú;2;1;0;70;1500.0;642.0;74.0
10;Departamento;San Borja;3;1;1;90;1500.0;455.0;14.0
11;Departamento;San Borja;1;0;1;40;2000.0;561.0;50.0
12;Habitación;San Borja;1;0;0;27;1800.0;501.0;
13;Departamento;San Borja;4;3;1;243;13000.0;2000.0;803.0
14;Flat;Chorrillos;3;1;1;80;3800.0;1040.0;
15;Casa en condominio;San Luis;3;1;1;115;2000.0;;
16;Departamento;Callao;3;0;0;54;950.0;300.0;28.0
17;Departamento;Ate;2;1;1;67;1700.0;589.0;147.0
18;Departamento;San Miguel;2;1;0;110;1900.0;700.0;138.0
19;Casa en condominio;Ate;4;3;2;466;7500.0;2695.0;
20;Departamento;Santa Rosa;3;1;0;68;1000.0;670.0;
21;Departamento;San Miguel;2;1;0;78;2000.0;700.0;
22;Flat;Rímac;1;0;0;56;4500.0;1900.0;1500.0
23;Departamento;Comas;3;1;1;125;7000.0;2100.0;463.0
24;Departamento;San Miguel;1;0;0;48;750.0;772.0;25.0
25;Departamento;Ate;3;3;1;175;4200.0;1500.0;500.0
26;Casa;Lince;4;1;2;400;12000.0;;
27;Departamento;Chorrillos;2;1;0;76;2500.0;740.0;
28;Departamento;San Borja;3;1;2;378;10000.0;2150.0;700.0
29;Departamento;San Borja;3;0;0;180;5500.0;1780.0;420.0
30;Departamento;Jesús María;3;1;1;105;2300.0;648.0;
31;Departamento;Rímac;3;1;0;110;3900.0;1500.0;120.0
32;Habitación;San Borja;1;0;0;27;1300.0;380.0;53.0
33;Departamento;Miraflores;3;3;1;200;3500.0;1780.0;496.0
34;Departamento;Ate;3;1;2;70;1800.0;1095.0;140.0
35;Departamento;San Borja;4;1;0;244;5000.0;2500.0;4100.0
36;Departamento;Ate;3;2;1;110;4500.0;2000.0;450.0
37;Departamento;Jesús María;2;2;2;90;3000.0;1340.0;
38;Departamento;Jesús María;3;2;2;100;2600.0;380.0;
39;Departamento;Ate;3;1;1;72;2350.0;600.0;70.0
40;Departamento;Breña;2;2;1;180;4000.0;2500.0;300.0
41;Departamento;Jesús María;3;1;2;92;2300.0;840.0;200.0
42;Departamento;Pachacámac;1;0;0;27;750.0;371.0;19.0
43;Departamento;Comas;1;0;0;35;2000.0;650.0;75.0
44;Departamento;Comas;1;0;0;38;1400.0;530.0;77.0
45;Departamento;Jesús María;2;1;2;83;1600.0;1160.0;157.0
46;Casa en condominio;Ate;5;10;5;1600;25000.0;1600.0;
47;Departamento;Ate;4;3;3;153;6500.0;2300.0;434.0
48;Departamento;Ancón;4;3;4;267;18000.0;3100.0;400.0
49;Departamento;Comas;3;1;0;87;3200.0;1305.0;217.0
50;Departamento;Santa Anita;3;1;0;90;1550.0;844.0;80.0
51;Departamento;Villa María del Triunfo;3;1;0;53;1400.0;385.0;28.0
52;Departamento;Chorrillos;3;1;1;108;5950.0;1405.0;289.0
53;Departamento;San Luis;2;0;0;86;1800.0;600.0;82.0
54;Departamento;Jesús María;2;1;1;74;1850.0;675.0;200.0
55;Departamento;Lince;3;1;1;74;1900.0;556.0;98.0
56;Departamento;Comas;3;2;1;150;8000.0;2400.0;
57;Departamento;Comas;3;1;1;140;7900.0;2900.0;500.0
58;Casa;Santa Anita;2;0;0;51;1500.0;50.0;
59;Departamento;Lurigancho;2;2;0;95;4000.0;1170.0;
60;Departamento;Ate;2;1;1;70;;970.0;68.0
61;Departamento;Comas;2;0;0;60;1000.0;380.0;280.0
62;Casa;Punta Hermosa;4;2;4;730;28000.0;2000.0;12000.0
63;Casa en condominio;Callao;5;3;1;140;2500.0;1200.0;
64;Departamento;Rímac;2;1;1;80;3500.0;990.0;245.0
65;Departamento;Ate;4;4;4;240;12700.0;4400.0;1440.0
66;Departamento;Ate;3;2;1;104;2600.0;1364.0;406.0
67;Departamento;Ate;2;1;0;45;800.0;280.0;14.0
68;Departamento;La Perla;2;1;0;70;2800.0;680.0;98.0
69;Departamento;Ate;2;1;1;88;2700.0;1300.0;2042.0
70;Departamento;Pachacámac;1;1;0;37;1100.0;540.0;900.0
71;Departamento;San Juan de Lurigancho;3;4;0;130;5500.0;1407.0;246.0
72;Departamento;Chaclacayo;2;1;0;77;1500.0;740.0;
73;Departamento;Ate;3;2;2;85;2500.0;1400.0;190.0
74;Departamento;Santa Anita;3;1;1;78;1450.0;630.0;73.0
75;Departamento;Punta Hermosa;2;1;0;54;2300.0;582.0;
76;Habitación;Pachacámac;0;0;0;30;800.0;505.0;
77;Departamento;Lince;2;1;1;69;2000.0;780.0;
78;Departamento;Comas;3;1;1;120;7000.0;1800.0;370.0
79;Departamento;Ate;2;1;1;78;2750.0;1300.0;138.0
80;Departamento;Jesús María;2;1;0;60;1000.0;450.0;150.0
81;Departamento;Jesús María;2;1;1;90;2400.0;1700.0;135.0
82;Departamento;Breña;2;1;0;86;4000.0;1259.0;188.0
83;Habitación;Villa El Salvador;0;0;0;28;1000.0;581.0;53.0
84;Departamento;Ate;1;1;1;70;1700.0;870.0;143.0
85;Departamento;Chorrillos;2;0;0;80;1000.0;;
86;Departamento;San Miguel;2;1;0;80;1800.0;1100.0;84.0
87;Departamento;San Miguel;3;1;0;172;2700.0;780.0;170.0
88;Departamento;Callao;4;3;2;261;2800.0;2535.0;3900.0
89;Departamento;Comas;3;1;1;145;8000.0;14768.0;4394.0
90;Departamento;Santa Rosa;2;1;0;53;1100.0;160.0;
91;Habitación;San Borja;1;0;0;29;1200.0;460.0;
92;Departamento;Chorrillos;2;1;1;83;2800.0;560.0;138.0
93;Departamento;Chorrillos;2;1;1;80;4300.0;1178.0;187.0
94;Departamento;Pueblo Libre;3;1;2;250;13900.0;2500.0;
95;Departamento;Rímac;3;2;1;147;7500.0;1028.0;247.0
96;Departamento;San Borja;2;1;0;67;3500.0;950.0;160.0
97;Departamento;Comas;3;1;1;150;25000.0;1616.0;4255.0
98;Departamento;Ate;4;3;2;220;7500.0;3911.0;716.0
99;Departamento;Lurín;2;0;0;77;2400.0;1130.0;140.0
100;Departamento;Lurín;2;1;0;55;1350.0;430.0;47.0
101;Casa;San Luis;8;3;5;259;7000.0;;
102;Departamento;Rímac;3;1;0;85;3900.0;800.0;1211.0
103;Departamento;Lurín;2;0;0;75;3350.0;455.0;
104;Departamento;Jesús María;3;2;1;90;1200.0;880.0;144.0
105;Casa;Breña;1;0;0;33;1200.0;;
106;Habitación;La Punta;1;0;0;16;1400.0;300.0;210.0
107;Departamento;Chorrillos;2;0;0;80;900.0;350.0;
108;Departamento;Ventanilla;1;0;0;37;1000.0;285.0;24.0
109;Departamento;San Borja;3;0;0;150;5500.0;1780.0;420.0
110;Departamento;Pueblo Libre;3;1;1;127;5000.0;1540.0;370.0
111;Departamento;Callao;2;1;1;74;1700.0;652.0;104.0
112;Departamento;Ate;3;2;1;128;3000.0;1384.0;324.0
113;Departamento;La Perla;3;1;1;160;8000.0;2000.0;
114;Departamento;San Borja;3;1;1;200;6200.0;1800.0;420.0
115;Departamento;Ate;2;1;0;58;1500.0;666.0;106.0
116;Departamento;Chorrillos;3;1;1;100;5500.0;1300.0;220.0
