Novedad;Marca;Clase;Codigo;Homologocodigo;Referencia1;Referencia2;Referencia3;Peso;IdServicio;Servicio;2024;Bcpp;Importado;Potencia;TipoCaja;Cilindraje;Nacionalidad;CapacidadPasajeros;CapacidadCarga;Puertas;AireAcondicionado;Ejes;Estado;Combustible;Transmision;Um;PesoCategoria
M;ALEKO;AUTOMOVIL;00101001;00132001;2141;1.6;MT 1600CC TAXI;1380;2;Publico;100600;125800;1;82;MT;1570;RUS;5;0;5;0;2;ACTIVO;GSL;4X2;0;1
A;AMERICAN MOTOR;CAMPERO;00208003;00236001;WRANGLER;4.2;MT 4200CC CAB;1100;1;Particular;72400;90500;1;120;MT;2400;USA;5;0;3;1;2;ACTIVO;GSL;4X4;0;1
A;AMERICAN MOTOR;CAMPERO;00208004;00236002;WRANGLER;4.2;MT 2500CC CARPADO;1100;1;Particular;76000;95000;1;120;MT;2400;USA;5;0;3;1;2;ACTIVO;GSL;4X4;0;1
A;AMERICAN MOTOR;CAMIONETA PASAJ.;00206001;00237001;EAGLE;SUMMIT;AT 2400CC LX 4P;0;1;Particular;43800;54800;1;0;AT;2351;USA;5;0;5;0;2;ACTIVO;GSL;4X2;0;1
N;BAJAJ;AUTOMOVIL;00301001;00332001;QUTE;200;MT 200CC;399;1;Particular;23900;29900;1;13;MT;2017;IND;4;0;4;0;2;ACTIVO;GSL;4X2;0;1
A;BAJAJ;MOTOCARRO;00319001;00351001;PICK-UP VAN;150;MT 150CC;283;1;Particular;8800;11000;1;7;MT;146;IND;2;0;2;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319003;00351003;PICK-UP VAN;175;MT 175CC;305;1;Particular;9400;11800;1;8;MT;174;IND;3;0;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319004;00351004;PICK-UP VAN;400;MT 400CC DSL;353;1;Particular;11800;14800;1;7;MT;417;IND;3;0;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319005;00351005;CAMELLITO;FURGON [ASL];MT 175CC;350;1;Particular;15700;19600;1;6;MT;174;IND;3;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319006;00351006;CAMELLITO;FURGON;MT 175CC;350;1;Particular;15700;19600;1;6;MT;174;IND;3;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319009;00351007;CAMELLITO;CHASIS;MT 175CC;305;1;Particular;12600;15800;1;8;MT;174;IND;1;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319010;00351008;CAMELLITO;ESTACAS;MT 175CC;305;1;Particular;12600;15800;1;8;MT;174;IND;1;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319011;00351009;CAMELLITO;ESTACAS ALUMINIO;MT 175CC;305;1;Particular;16300;20400;1;8;MT;174;IND;1;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319012;00351010;CAMELLITO;FURGON ALUMINIO;MT 175CC;305;1;Particular;15500;19400;1;8;MT;174;IND;1;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319013;00351011;CAMELLITO;REPARTO;MT 175CC;305;1;Particular;14900;18600;1;8;MT;174;IND;1;325;2;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319014;00351012;PICK-UP VAN;450;MT 450CC DSL;398;1;Particular;11500;14400;1;7;MT;447;IND;2;432;2;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319018;00351013;CAMELLITO;RE600 FURGON [ASL];MT 448CC DSL;398;1;Particular;23000;28800;1;8;MT;416;IND;2;600;2;0;2;ACTIVO;DSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319019;00351014;CAMELLITO;RE205 D FURGON;MT 199CC;300;1;Particular;17800;22300;1;10;MT;199;IND;2;342;2;0;2;ACTIVO;GSL;3X1;0;1
M;BAJAJ;MOTOCARRO;00319021;00351015;RE MAXIMA;CARGO PLATON;MT 236CC;475;2;Publico;21000;26250;1;10;MT;236;IND;2;0;0;0;2;ACTIVO;GSL;3X1;0;1
N;BAJAJ;MOTOCARRO;00319022;00351016;RE MAXIMA;CARGO FURGON [ASL];MT 236CC;475;1;Particular;22800;28500;1;10;MT;236;IND;2;515;0;0;2;ACTIVO;GSL;4X2;0;1
N;BAJAJ;MOTOCARRO;00319023;00351017;TORITO;RE205 D FURGON;MT 199CC;329;1;Particular;21000;26300;1;10;MT;199;IND;2;342;0;0;2;ACTIVO;GSL;3X1;0;1
N;BAJAJ;MOTOCARRO;00319024;00351018;RE MAXIMA;CARGO FURGON;MT 236CC;475;1;Particular;25000;31250;1;10;MT;236;IND;2;515;0;0;2;ACTIVO;GSL;3X2;1;1
N;BAJAJ;MOTOCARRO;00319026;00351019;RE MAXIMA;CHASIS;MT 236CC;495;1;Particular;26000;32500;1;11;MT;236;IND;2;0;0;0;2;ACTIVO;GSL;3X1;0;1
N;BAJAJ;MOTOCARRO;00319027;00351020;RE MAXIMA;CARGO ESTACAS;MT 236CC;495;1;Particular;21600;24840;0;10;MT;236;COL;2;0;0;0;2;ACTIVO;GSL;2X1;0;1
A;BAJAJ;MOTOCARRO;00319007;00352001;CAMELLITO;WILLYS;MT 175CC;305;1;Particular;14500;18100;1;8;MT;174;IND;3;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319008;00352002;CAMELLITO;CHIVA;MT 175CC;305;1;Particular;15100;18900;1;8;MT;174;IND;3;325;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319015;00352003;CAMELLITO;RE205 D C. ESPECIAL;MT 199CC;329;1;Particular;13800;17300;1;10;MT;199;IND;4;0;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319016;00352004;CAMELLITO;RE205 D WILLIS;MT 199CC;329;1;Particular;13200;16500;1;10;MT;199;IND;4;0;4;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319017;00352005;CAMELLITO;RE205 D BASICO;MT 199CC;329;1;Particular;13400;16800;1;10;MT;199;IND;4;0;0;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319020;00352006;TORITO;RE205 D BASICO;MT 199CC;329;1;Particular;15500;19400;1;10;MT;199;IND;4;342;4;0;2;ACTIVO;GSL;3X1;0;1
A;BAJAJ;MOTOCARRO;00319002;00352007;CAMELLITO;175;MT 175CC;200;1;Particular;14000;17500;1;12;MT;175;IND;3;325;0;0;2;ACTIVO;GSL;3X1;0;1
